,Date,Low,Open,Volume,High,Close,Adjusted Close,SYMBOL
3887,14-04-2009,2.2799999713897705,2.6600000858306885,1203000,2.7100000381469727,2.3199999332427983,2.3199999332427983,INCY
3888,15-04-2009,2.1800000667572017,2.299999952316284,1216300,2.4100000858306885,2.299999952316284,2.299999952316284,INCY
3889,16-04-2009,2.25,2.3399999141693115,617000,2.4300000667572017,2.2799999713897705,2.2799999713897705,INCY
3890,17-04-2009,2.200000047683716,2.289999961853028,562600,2.289999961853028,2.240000009536743,2.240000009536743,INCY
3891,20-04-2009,2.039999961853028,2.2100000381469727,925700,2.240000009536743,2.059999942779541,2.059999942779541,INCY
3892,21-04-2009,2.0799999237060547,2.0799999237060547,886300,2.1700000762939453,2.150000095367432,2.150000095367432,INCY
3893,22-04-2009,2.0799999237060547,2.3399999141693115,1166000,2.3399999141693115,2.0999999046325684,2.0999999046325684,INCY
3894,23-04-2009,1.9600000381469729,2.1099998950958248,2687400,2.1600000858306885,2.059999942779541,2.059999942779541,INCY
3895,24-04-2009,2.0899999141693115,2.0999999046325684,789200,2.1800000667572017,2.1700000762939453,2.1700000762939453,INCY
3896,27-04-2009,2.0999999046325684,2.190000057220459,614200,2.2799999713897705,2.1700000762939453,2.1700000762939453,INCY
3897,28-04-2009,2.1099998950958248,2.150000095367432,777700,2.299999952316284,2.200000047683716,2.200000047683716,INCY
3898,29-04-2009,2.1800000667572017,2.2100000381469727,984600,2.359999895095825,2.3299999237060547,2.3299999237060547,INCY
3899,30-04-2009,2.2300000190734863,2.2300000190734863,920100,2.470000028610229,2.359999895095825,2.359999895095825,INCY
3900,01-05-2009,2.289999961853028,2.3499999046325684,490700,2.400000095367432,2.289999961853028,2.289999961853028,INCY
3901,04-05-2009,2.299999952316284,2.299999952316284,755500,2.5,2.4600000381469727,2.4600000381469727,INCY
3902,05-05-2009,2.400000095367432,2.490000009536743,465900,2.5,2.440000057220459,2.440000057220459,INCY
3903,06-05-2009,2.369999885559082,2.4800000190734863,713100,2.490000009536743,2.470000028610229,2.470000028610229,INCY
3904,07-05-2009,2.309999942779541,2.470000028610229,1197600,2.5699999332427983,2.450000047683716,2.450000047683716,INCY
3905,08-05-2009,2.369999885559082,2.490000009536743,1082900,2.559999942779541,2.539999961853028,2.539999961853028,INCY
3906,11-05-2009,2.700000047683716,3.0299999713897705,2055900,3.0299999713897705,3.0,3.0,INCY
3907,12-05-2009,2.809999942779541,3.3299999237060547,1733600,3.3299999237060547,2.9100000858306885,2.9100000858306885,INCY
3908,13-05-2009,2.7100000381469727,2.859999895095825,949600,2.9100000858306885,2.7799999713897705,2.7799999713897705,INCY
3909,14-05-2009,2.690000057220459,2.7699999809265137,704500,2.799999952316284,2.789999961853028,2.789999961853028,INCY
3910,15-05-2009,2.549999952316284,2.799999952316284,870800,2.8299999237060547,2.559999942779541,2.559999942779541,INCY
3911,18-05-2009,2.5999999046325684,2.5999999046325684,508000,2.789999961853028,2.789999961853028,2.789999961853028,INCY
3912,19-05-2009,2.720000028610229,2.799999952316284,705200,2.8299999237060547,2.799999952316284,2.799999952316284,INCY
3913,20-05-2009,2.759999990463257,2.7799999713897705,635100,2.869999885559082,2.7699999809265137,2.7699999809265137,INCY
3914,21-05-2009,2.5199999809265137,2.740000009536743,716300,2.759999990463257,2.5999999046325684,2.5999999046325684,INCY
3915,22-05-2009,2.5999999046325684,2.630000114440918,501600,2.75,2.6800000667572017,2.6800000667572017,INCY
3916,26-05-2009,2.6600000858306885,2.700000047683716,1101800,2.990000009536743,2.940000057220459,2.940000057220459,INCY
3917,27-05-2009,2.880000114440918,2.9800000190734863,604600,3.0899999141693115,2.9600000381469727,2.9600000381469727,INCY
3918,28-05-2009,2.8299999237060547,2.9600000381469727,771800,3.0499999523162837,2.9300000667572017,2.9300000667572017,INCY
3919,29-05-2009,2.9800000190734863,3.009999990463257,2193600,3.4500000476837163,3.289999961853028,3.289999961853028,INCY
3920,01-06-2009,3.3299999237060547,3.3499999046325684,1817100,3.75,3.5799999237060547,3.5799999237060547,INCY
3921,02-06-2009,3.5499999523162837,3.619999885559082,1124500,3.759999990463257,3.660000085830689,3.660000085830689,INCY
3922,03-06-2009,3.4300000667572017,3.660000085830689,1124700,3.660000085830689,3.5,3.5,INCY
3923,04-06-2009,3.470000028610229,3.630000114440918,867500,3.630000114440918,3.4800000190734863,3.4800000190734863,INCY
3924,05-06-2009,3.5699999332427983,3.5899999141693115,3892200,4.099999904632568,3.839999914169312,3.839999914169312,INCY
3925,08-06-2009,3.4200000762939453,4.019999980926514,2936900,4.050000190734863,3.4200000762939453,3.4200000762939453,INCY
3926,09-06-2009,3.4300000667572017,3.5499999523162837,1377100,3.5499999523162837,3.440000057220459,3.440000057220459,INCY
3927,10-06-2009,3.309999942779541,3.5499999523162837,1052500,3.559999942779541,3.3399999141693115,3.3399999141693115,INCY
3928,11-06-2009,3.309999942779541,3.400000095367432,1051900,3.4500000476837163,3.3199999332427983,3.3199999332427983,INCY
3929,12-06-2009,3.2300000190734863,3.3499999046325684,1079300,3.440000057220459,3.3299999237060547,3.3299999237060547,INCY
3930,15-06-2009,3.0999999046325684,3.3199999332427983,1123200,3.369999885559082,3.1600000858306885,3.1600000858306885,INCY
3931,16-06-2009,3.119999885559082,3.25,902500,3.289999961853028,3.1600000858306885,3.1600000858306885,INCY
3932,17-06-2009,3.119999885559082,3.220000028610229,646600,3.259999990463257,3.220000028610229,3.220000028610229,INCY
3933,18-06-2009,3.059999942779541,3.220000028610229,1065400,3.240000009536743,3.0999999046325684,3.0999999046325684,INCY
3934,19-06-2009,3.109999895095825,3.1700000762939453,1333100,3.25,3.240000009536743,3.240000009536743,INCY
3935,22-06-2009,3.130000114440918,3.2699999809265137,678000,3.3399999141693115,3.1700000762939453,3.1700000762939453,INCY
